CD3E	CD4	CD8A
MUT.MR4050_401	2.92921033299208	0	3.564098827783
MUT.MR4050_549	3.10982856294755	0	3.74451633992933
MUT.MR4050_1408	3.1897724444895	0	3.1897724444895
MUT.MR4050_1621	2.47958503419701	0	2.01848467546784
MUT.MR4050_1768	3.07405801189453	0	1.91953857448731
MUT.MR4050_1925	2.98972389324806	0	3.29200791224866
MUT.MR4050_1956	3.90827113312526	0	3.62284735352068
MUT.MR4050_2173	3.34743468772561	0	2.83165708657695
MUT.MR4050_2182	3.68599073445836	0	3.15601375386869
MUT.MR4050_2780	4.70036410306228	0	3.45936012811952
MUT.MR4050_2828	2.74577913286184	0	2.02062636866274
MUT.MR4050_2858	2.4164753027615	0	2.4164753027615
MUT.MR4050_2981	3.24100970986538	0	1.63860168678767
MUT.MR4050_4075	2.42520877647614	0	1.96866027331503
MUT.MR4050_4173	3.38607914347573	0	2.6222525602413
MUT.MR4050_4423	3.49146752436251	0	2.35015704187371
MUT.MR4050_6016	1.73555672132425	0	2.0380051980888
MUT.MR4050_6107	4.18174155524781	0	2.97438514032254
MUT.MR4050_6213	2.81269609959533	0	1.48943456301306
WT.MR4050_79	3.61254713813887	0	3.87512275720992
WT.MR4050_394	3.44866882306814	0	2.43512397738377
WT.MR4050_426	3.98919470700034	0	3.98919470700034
WT.MR4050_513	2.77875970928542	0	3.49308200295533
WT.MR4050_863	3.83644324405813	0	0
WT.MR4050_996	4.29318995745174	0	4.9567589444769
WT.MR4050_1175	3.63140851804995	0	4.50776509235289
WT.MR4050_1972	3.08294748439421	0	3.08294748439421
WT.MR4050_1989	3.71584680230653	0	4.50320967794603
WT.MR4050_2121	3.26702551223742	0	4.32691940081447
WT.MR4050_2192	3.66932730960713	0	3.55730776067518
WT.MR4050_2315	3.06032717096437	0	3.66223012917517
WT.MR4050_3376	3.20411890954962	0	3.62945071183642
WT.MR4050_3405	3.47453382372635	0	3.88696066933081
WT.MR4050_3902	3.35499873846996	0	4.20460928483608
WT.MR4050_4840	3.45951353089888	0	2.93867780629147
WT.MR4050_4867	3.69663816913917	0	3.45568774366449
WT.MR4050_4882	4.02263284789159	0	4.10486475122653
WT.MR4050_5181	2.90626382836203	0	4.06848190279235
WT.MR4050_5315	3.57916806420782	0	3.96370837535632
WT.MR4050_5353	3.57523882662987	0	2.79826464892199
WT.MR4050_5937	3.89300884605542	0	3.89300884605542
WT.MR4050_6126	2.20403587204898	0	2.20403587204898
WT.MR4050_6322	3.22013721420544	0	3.42024174582194
WT.MR4050_6393	3.48642089618269	0	3.69030606833638
WT.MR4050_6409	2.90730147911277	0	2.08782539159209
WT.MR4050_6434	3.87901013069126	0	3.75127907821171
WT.MR4050_6627	2.56662306178397	0	3.5446243764681
WT.MR4050_6750	2.15471134064506	0	2.41033956219849
WT.MR4050_7116	3.93984047475342	0	3.64122498271767
WT.MR4050_7200	2.86772483788649	0	3.72009468475926
WT.MR4050_7297	3.24718829468836	0	4.81682635327758
WT.MR4050_7535	4.16279319468293	0	3.33714753347574
